cat_vars,labels
v034,0#1:90#99
v104,0#1:5#6:94#95#96
v130,1#2#3:96
v136,1#2#3#4#5:7#8:99
v152,0:30# 31:49# 50:96# 97#98# 99
v201,0#1#2#3#4#5#6#7:20
v202,0#1#2#3#4:20
v203,0#1#2#3#4:20
v204,0#1#2#3#4:20
v205,0#1#2#3#4:20
v206,0#1#2#3#4:20
v207,0#1#2#3#4:20
v208,0#1#2#3#4:20
v209,0#1#2#3#4:20
v215,100:199#201:299#301:399#401:499#993#994#995#996#997#998#999
v218,0#1#2#3#4#5#6#7:20
v221,0:12#13:24#25:609#996
v222,0:5#6:11#12:17#18:23#24:99
v456,0:65#66:80#81:100#101:120#121:150#151:990#994#995#996#998#999
v464,0#1#2#3#4#5#6:97#98#99
v469e,0#1#2#3#4#5#6:97#98#99
v525,0#7:14#15:17#18:30#31:49#96#97#98#99
v528,0:30#31#94#95#96#97# 98# 99
v537,0#1:6# 7:12# 13:59#60:95#96#97#98#99
v603,"100:199,994#202:299#993#996#997#998#999"
v613,0#1#2#3:50#96#98#99
v616,100:199#201:299#993#994#995#996#998#999
v627,0#1#2#3:50#96#98#99
v628,0#1#2#3:50#96#98#99
v629,0#1#2#3:50#96#98#99
v730,15:30#31:45#46:95# 96#98#99
v766a,0# 1# 2# 3:97# 98#99
v766b,0# 1# 2# 3:97# 98#99
v829,"11:18,41:45# 20:27#31,33,34#32#96#99"
v832b,"100:130#131:180,199:240,299:312,399,401#995#996# 997#998# 999"
v834a,10:17#18:21#22:30#31: 49#50:94#95#98#99
v834b,10:17#18:21#22:30#31: 49#50:94#95#98#99
v836,1# 2# 3# 4# 5# 6:97# 98# 99
v842,11:18#20:27#31#32#96#99
v852a,"100:130#131:180,199:240,299:312,399,401#995#996# 997#998# 999"
v852b,"100:130#131:180,199:240,299:312,399,401#995#996# 997#998# 999"
v853a,1#2#3#4#5#6#7#8#9#10:97#98#99
v853b,1#2#3#4#5#6#7#8#9#10:97#98#99
d102,0#1#2:3#4:98#99
d109,0#1#2#3#4#5#6#7#8#9#10#11:94#95#96#98#99
d126,5:18#19:49#98#99
s238,"11:19#21,31:34#41#42"
s242,"11:19#21,31:34#41#42"
s252,"11:19#21,31:34#41#42"
s303,"100#102:112,199#201:235,299#997#998#999"
s337,1:1999#2000#2001:9997#9998
s364,"11:21# 22,31:35#96"
sb13,5:11#12:13#14:98#99
sb16s,0:120#121:993#994#995#996#999
sb16d,0:80#81:993#994#995#996#999
sb23s,0:120#121:993#994#995#996#999
sb23d,0:80#81:993#994#995#996#999
sb27s,0:120#121:993#994#995#996#999
sb27d,0:80#81:993#994#995#996#999
b6_01,"100# 101:198# 201:298,302:398#199,299,399# 997#998#999"
b6_02,"100# 101:198# 201:298,302:398#199,299,399# 997#998#999"
b6_03,"100# 101:198# 201:298,302:398#199,299,399# 997#998#999"
b6_04,"100# 101:198# 201:298,302:398#199,299,399# 997#998#999"
b6_05,"100# 101:198# 201:298,302:398#199,299,399# 997#998#999"
b6_06,"100# 101:198# 201:298,302:398#199,299,399# 997#998#999"
b6_07,"100# 101:198# 201:298,302:398#199,299,399# 997#998#999"
b6_08,"100# 101:198# 201:298,302:398#199,299,399# 997#998#999"
b6_09,"100# 101:198# 201:298,302:398#199,299,399# 997#998#999"
b6_10,"100# 101:198# 201:298,302:398#199,299,399# 997#998#999"
b6_11,"100# 101:198# 201:298,302:398#199,299,399# 997#998#999"
b6_12,"100# 101:198# 201:298,302:398#199,299,399# 997#998#999"
b6_13,"100# 101:198# 201:298,302:398#199,299,399# 997#998#999"
b6_14,"100# 101:198# 201:298,302:398#199,299,399# 997#998#999"
b6_15,"100# 101:198# 201:298,302:398#199,299,399# 997#998#999"
b6_16,"100# 101:198# 201:298,302:398#199,299,399# 997#998#999"
b6_17,"100# 101:198# 201:298,302:398#199,299,399# 997#998#999"
b6_18,"100# 101:198# 201:298,302:398#199,299,399# 997#998#999"
